Date,Open,High,Low, Close,Volume
08/11/2023,16,16.3,16,16.05,5178900
08/10/2023,16.6,16.6,16,16.15,1236200
08/09/2023,16.5,16.5,16.1,16.35,308100
08/08/2023,16.95,16.95,16,16.4,4449000
08/07/2023,17,17,16.65,16.75,599700
08/04/2023,17,17,16.75,16.8,597400
08/03/2023,16.85,16.9,16.7,16.8,1753000
08/02/2023,17.5,17.5,16.75,16.9,946700
08/01/2023,16.6,17.6,16.6,17.35,3925500
07/31/23,17,17.3,16.6,16.9,558800
07/28/23,17.5,17.7,16.5,16.6,208485906
07/27/23,17,17.7,16.55,17.25,784600
07/26/23,16.5,16.5,16,16.15,6423200
07/25/23,17.5,17.7,16.5,16.8,8347100
07/24/23,18,18.05,17.6,17.85,941600
07/21/23,18.1,18.1,17.85,18,970100
07/20/23,18.2,18.2,18,18.05,3894900
07/19/23,18.1,18.55,18,18.15,1425600
07/18/23,19.4,19.4,18,18.55,4618000
07/17/23,19.2,19.5,19,19.3,314300
07/14/23,19.4,19.5,19,19.2,930500
07/13/23,19.65,19.65,19.3,19.4,437100
07/12/2023,19.8,19.8,19.4,19.7,5111900
07/11/2023,20,20,19.4,19.7,4534200
07/10/2023,19.2,20,19,19.55,2819500
07/07/2023,18.5,19.2,18.2,18.9,3157600
07/06/2023,17.8,18.45,17.6,17.85,18260100
07/05/2023,17.9,17.9,17.6,17.7,2346400
07/04/2023,18,18,17.6,17.8,15905700
07/03/2023,17.6,18,17.6,17.75,467500
06/30/23,17.5,17.6,17.4,17.5,1626500
06/29/23,17.5,17.6,17.2,17.45,329700
06/27/23,17.8,17.8,17.2,17.4,867000
06/26/23,17.8,17.8,17.45,17.5,8518700
06/23/23,17.75,17.8,17.4,17.5,9481100
06/22/23,17,17.8,17,17.45,4990500
06/21/23,16.4,17,16.4,16.8,2504300
06/20/23,16.1,16.5,15.9,16.25,1425100
06/19/23,15.5,16.3,15.45,16.05,477200
06/16/23,14.95,15.45,14.75,14.9,13905700
06/15/23,15.6,15.8,14.75,14.85,2369800
06/14/23,15.8,15.8,14.75,14.95,3786800
06/13/23,16,16,14.9,15.05,8512100
06/12/2023,16.8,16.8,15.45,15.75,5374200
06/09/2023,16.85,16.85,16.45,16.6,568400
06/08/2023,16.95,16.95,16.5,16.7,1734900
06/07/2023,17,17,16.85,16.95,1410600
06/06/2023,17.2,17.2,16.9,17,3968700
06/05/2023,17.25,17.25,16.75,16.95,2200300
06/02/2023,17.25,17.25,16.7,16.95,10047000
05/31/23,16,17.3,16,16.6,10822100
05/30/23,15.7,16.75,15.3,15.9,15838100
05/29/23,15,15.65,14.95,15.25,444100
05/26/23,15.3,15.3,14.95,15.05,12117800
05/25/23,15.35,15.35,15,15.05,22905400
05/24/23,15.35,15.35,15,15.25,8640900
05/23/23,15.45,15.45,14.95,15.3,2738400
05/22/23,15.45,15.45,14.9,15.05,2271800
05/19/23,15.5,15.5,14.8,15,2100500
05/18/23,16,16.5,14.45,14.85,7282500
05/17/23,15.7,15.7,15.2,15.5,18171801
05/16/23,14.1,14.3,14.1,14.3,1219300
05/15/23,13.25,14.5,12.7,13,22757400
05/12/2023,14.75,14.75,13.25,13.25,41634500
05/11/2023,15.7,15.7,14,14.7,18694699
05/10/2023,15.7,15.7,14.9,15.3,6690300
05/09/2023,16,16,15.25,15.6,3955000
05/08/2023,16,16,15.7,15.95,573100
05/05/2023,16.2,16.2,15.65,15.75,6391900
05/04/2023,16.5,16.5,15.95,16.25,16373300
05/03/2023,16.7,16.7,15.95,16.05,12831200
05/02/2023,16.5,16.8,16.45,16.5,937800
04/28/23,16.8,16.8,16.35,16.5,10408200
04/27/23,16.8,16.8,16.6,16.7,616200
04/26/23,17,17,16.55,16.7,1559200
04/25/23,16.7,17,16.45,16.5,13043100
04/24/23,16.8,16.8,16.55,16.7,802400
04/20/23,17,17.5,16.4,16.5,8316600
04/19/23,17.4,17.4,16.65,16.7,4827100
04/18/23,17.1,17.5,16.75,16.85,2256100
04/17/23,17.7,17.7,16.8,17.05,3459200
04/14/23,18,18,17.5,17.8,2620100
04/13/23,18.35,18.4,17.25,17.85,2163500
04/12/2023,18.6,19,18.2,18.35,2908300
04/11/2023,18.5,19.3,18.35,18.45,5052300
04/06/2023,18.75,19.45,18.25,18.6,4375000
04/05/2023,18.2,18.5,18,18.05,24080000
04/04/2023,19,19,17.95,18,14295800
04/03/2023,19,19,18.1,18.15,3428600
03/31/23,18,18.5,18,18.1,1704000
03/30/23,18.2,18.5,17.8,18,15186300
03/29/23,18.85,18.85,18,18.5,10100200
03/28/23,18.9,18.9,18.4,18.5,5636200
03/27/23,18.9,19,18.75,18.85,2344800
03/24/23,19.4,19.4,18.5,18.9,29109400
03/23/23,19,19.4,18.55,19,8703800
03/22/23,19,20,18.95,19.1,5680900
03/21/23,18,19.7,18,18.95,37107398
03/20/23,17.3,17.95,17,17.95,15620600
03/17/23,17,17.25,16.05,16.35,78127906
03/16/23,18,18,16.45,17,39533699
03/15/23,19.1,19.1,17.75,18,16825500
03/14/23,19.5,19.85,18.9,19.1,3589700
03/13/23,20.65,20.8,19.3,19.6,3227200
03/10/2023,21,21,20,20.6,1442700
03/09/2023,21,21.5,20.85,20.95,14873900
03/08/2023,22,22,20.85,20.95,28703400
03/07/2023,23,23,22,22.55,2794600
03/06/2023,23.6,23.6,22.8,23,4611000
03/03/2023,23.6,23.6,23,23.45,404700
03/02/2023,23.5,23.6,23,23.5,2949200
03/01/2023,23.5,23.55,23,23.35,2096800
02/28/23,23.1,23.5,23.05,23.3,3743300
02/27/23,23.5,23.5,22.9,23,8930200
02/24/23,23.5,23.5,23.2,23.35,590100
02/23/23,23.6,23.6,23.25,23.4,970100
02/22/23,23.5,23.6,23.2,23.5,11200400
02/21/23,23,23.6,23,23.45,1567800
02/20/23,23.5,23.65,23.2,23.5,771800
02/17/23,23.65,23.7,23.5,23.65,205400
02/16/23,23.7,23.7,23.5,23.6,15340000
02/15/23,23.7,23.7,23.5,23.7,3483300
02/14/23,23.85,23.9,23.5,23.7,1185600
02/13/23,24,24,23.55,23.75,390100
02/10/2023,24,24,23.6,23.9,4673200
02/09/2023,24.3,24.3,23.95,24.1,1112900
02/08/2023,24,24.3,23.7,24,1128700
02/07/2023,24.45,24.5,23.5,24,3603800
02/06/2023,24.5,24.95,24.25,24.45,9459700
02/03/2023,24.25,24.8,24.1,24.5,1746900
02/02/2023,24.1,24.25,23.75,24,2086300
02/01/2023,23.9,24.45,23.05,24,7298100
01/31/23,23.2,23.6,23,23.4,1940200
01/30/23,23.65,24,23,23.05,847500
01/27/23,23.5,23.5,23,23.25,622600
01/26/23,23.95,23.95,23,23.25,1304000
01/25/23,23.2,24.95,23,23.55,12920300
01/24/23,23,23.5,22.85,23.05,8077900
01/23/23,22.95,23,22.5,23,2274700
01/20/23,21.8,23.65,21.8,22.55,2449000
01/19/23,21,22.05,21,21.75,107510305
01/18/23,21,21.5,20.5,20.6,57134500
01/17/23,21.5,21.5,20.5,21.1,4056800
01/16/23,22,22,21,21.55,1927800
01/13/23,22.15,22.35,21.5,22,2403000
01/12/2023,22.5,22.5,22.15,22.25,3003600
01/11/2023,22.85,22.85,22.5,22.65,689700
01/10/2023,23.5,23.5,22.8,22.95,5557600
01/09/2023,23.5,23.9,23.15,23.35,3736500
01/06/2023,23.9,23.9,23.4,23.5,2024400
01/05/2023,24,24,23.8,23.9,279300
01/04/2023,24,24,23.8,23.9,1882800
01/03/2023,24.15,24.4,24,24.05,575900
